 ,E2500init,E2500UC,E2500YR1,E3100init,E3100UC,E3100YR1,DDinit,DDUC,DDYR1,DDYR12,DDYR1re2,DGinit,DGUC,DGYR1,DGYR12,DGYR1re2,DuganYR2,EICPYR1C,EICPYR1F,EICPYR1L,EICPYR2C,EICPYR2F,EICPYR2L,LICinit,LICUC,LICYR1,LICYR12,LICYR1re2,LV1init,LV1UC,LV2init,LV2UC,LV3init,LV3UC,LVYR1,LVYR12,LVYR1re2,M1Ginit,M1GUC,M1GYR1,M2Dinit,M2DUC,M2DYR1,M3Dinit,M3DUC,M3DYR1,NDinit,NDUC,NDYR1,NDYR12,NDYR1re2
0096e6b43cfca673d39d67442c4eca43,4,7,2,0,17,2,2,13,3,32,36,0,0,0,0,0,3,0,0,19,3,0,9,10,4,12,29,8,0,0,0,0,0,0,12,0,0,0,7,5,0,1,2,2,5,0,0,0,17,15,0
009d0d14278b82dad24c5c8781e8aca5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00a0dbd980b2b80b008c3a0bd1763af4,3,0,1,6,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00aff5c57c5f39d9164fc3f0e7d6e2a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b584a789869db08e0c7d8d53d75701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,6,3,0,7,0,0,0,0,0,0
00b5e81634e84fcbe909e1dc910458e3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
00bcdd88d32a0dc4e621cefdaf6f24f1,0,0,15,0,0,0,361,26,54,30,6,235,438,85,222,152,87,7,50,38,30,66,16,69,7,5,3,10,333,158,191,328,116,300,53,217,160,18,100,52,18,21,24,52,170,39,160,23,10,2,39
00c19ef5f7b83f5862b1b2c5f908e175,0,0,0,0,0,0,110,95,27,7,16,8,48,24,44,21,81,53,77,0,63,48,34,55,56,43,32,28,28,56,14,111,16,121,22,66,56,0,0,0,0,4,6,0,10,0,41,32,0,7,61
00ce2d73c983c5b2ed77f12b4f0c1a54,4,0,15,83,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00dd1b187d93317dd6ce4efe9cfabee0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,15,28,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00e45066e9bef525b3c148b547079739,0,0,0,0,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00e88f0d01a498625afc74ea91769b50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,2,2,0,0,6,0,0,0,0,0,0
00f52ef48083397c834090f2cb53de34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,8,14,17
00f5e0b28709b40854663bdcb16c8d10,7,17,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00f82c388ba060893e784b72999517a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00fea3e844a0937ffb528c743ad1b238,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0
010abc8d23ece2f5a5d944e18dac7e36,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011a9d78ae113633287cbb5987664fe2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011c3c2dbb47ea319672daedb703dbe8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,80,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,10,22,25
011f1f98d41a12d05a7630142f59e1ff,0,0,0,0,0,0,0,3,5,0,0,0,5,6,10,12,4,0,0,0,0,0,0,0,0,0,0,0,4,21,0,8,0,24,3,8,4,0,0,0,0,8,0,0,0,0,3,3,0,0,10
0123f7afca11380494aeed05f814c14f,3,0,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01259b4c647f4f23ac383c2424a4e66e,0,9,0,0,7,3,0,0,4,16,9,0,2,0,0,0,0,0,0,16,0,2,0,0,0,0,7,7,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,0,0,7,6,0
0129d3b0df6bfcac9e72461ab9988bfe,50,73,102,33,136,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014ad1f33debcba9e4269b4df982a312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,1,0,5,0,0,0,0,0
0153a607a64057f438754e62007d118a,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015937f5f2fb2db52f2d80a89a4f1c9d,0,6,2,0,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
