OTUID,taxon,Genus
0e4e4d881c4707022e4abcaf51859c6a,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Crassifilum
8edf125a8a1d1c36265998cdaf0297f9,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Crustifilum
8da5e8164a6c66de22de323f42690866,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Crustifilum
c6215f72abe0e48d475d59dc77edc375,k__Bacteria; p__Cyanobacteria,Crustifilum
1fafbe8c41acf7e25a59e7ae04f99b77,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium; s__,Crustifilum
1ea4f15172c95aeba1a9f4c148f71d95,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Konicacronema
61428ec76711228cab160fcbdca40330,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Konicacronema
7b80e97275771ab5ece6ddd836178173,k__Bacteria; p__Cyanobacteria; c__; o__; f__; g__; s__,Konicacronema
c42a027ba17a32ad7417ef3a069c9ed9,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Arthronema; s__,Leptolyngbya
145b9d6ec00008ea8d8791bc1f513c04,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__; s__,Leptolyngbya
8b7ed8b887ce47efadc1ae2bad6b6b3a,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae; g__Phormidium,Leptolyngbya
cb9b51b69977996023650d7655be5729,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Leptolyngbya
3bb756bb754ed4752122600526a7dd16,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae,Leptolyngbya
9f16e0bb8ace486f571b81f4ec4c6cfc,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Leptolyngbya
707e113e895c042241f4f741560a8611,k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Oscillatoriales; f__Phormidiaceae,Leptolyngbya
73508ac6d14d63e76f612591344b96ec,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Leptolyngbya
08475efe63bbeb54f9cbf0e9b0de7869,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Leptolyngbya
5fd63df6758f2b48711f838d5155472d,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Leptolyngbya
7442aa95b135966a64d2ed36676abb57,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__frigida,Leptolyngbya
cc117f901b75503af6f621c265fa027b,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Leptolyngbya
97adfc0bbf6eab7954490d5c7f1a3d1f,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Leptolyngbya; s__,Leptolyngbya
a9be6f5c53a0e825af3333f36755927e,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Pseudanabaenales; f__Pseudanabaenaceae,Leptolyngbya
